horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
10,2,ridge_lags_1_2_5_alpha_1,0.1683339762423323,0.09008702577011156,4.545017358542972,27,27
10,3,ridge_lags_1_2_5_alpha_1,0.16092203980806408,0.10844969369869556,4.34489507481773,27,27
10,4,ridge_lags_1_2_5_alpha_1,0.17699309781738215,0.10841605649409926,4.778813641069318,27,27
10,5,ridge_lags_1_2_5_alpha_1,0.1216594546752175,0.0731806315309883,3.2848052762308724,27,27
10,6,ridge_lags_1_2_5_alpha_1,0.14540401874070719,0.058732733169004805,3.925908505999094,27,27
10,7,ridge_lags_1_2_5_alpha_1,0.2841409702305231,0.14337508778637395,7.671806196224124,27,27
10,8,ridge_lags_1_2_5_alpha_1,0.24173201696376523,0.178534026141639,6.5267644580216615,27,27
10,9,ridge_lags_1_2_5_alpha_1,0.23319828128641842,0.15399179944943173,6.296353594733297,27,27
10,10,ridge_lags_1_2_5_alpha_1,0.11957489835835979,0.04936930630025989,3.2285222556757143,27,27
10,11,ridge_lags_1_2_5_alpha_1,0.5195399073940549,0.5217579229639235,14.02757749963948,27,27
10,12,ridge_lags_1_2_5_alpha_1,1.2398735705119266,0.4219448145954674,33.47658640382202,27,27
10,13,ridge_lags_1_2_5_alpha_1,1.8040542713981476,0.2596599152571242,48.70946532774998,27,27
10,1,ridge_lags_1_2_3_4_5_10_alpha_1,0.13337890331561228,0.0556647684967771,3.6012303895215316,27,27
10,2,ridge_lags_1_2_3_4_5_10_alpha_1,0.15444693183993483,0.07298374113126065,4.17006715967824,27,27
10,3,ridge_lags_1_2_3_4_5_10_alpha_1,0.15833404863976985,0.10729979424999975,4.275019313273786,27,27
10,4,ridge_lags_1_2_3_4_5_10_alpha_1,0.17516328287066074,0.1077155784453119,4.72940863750784,27,27
10,5,ridge_lags_1_2_3_4_5_10_alpha_1,0.11441273763072957,0.06833087593271246,3.0891439160296983,27,27
10,6,ridge_lags_1_2_3_4_5_10_alpha_1,0.14426158006980486,0.05796050949099332,3.8950626618847313,27,27
10,7,ridge_lags_1_2_3_4_5_10_alpha_1,0.2831539683629798,0.14256380808578267,7.645157145800455,27,27
10,8,ridge_lags_1_2_3_4_5_10_alpha_1,0.22928325271786562,0.16487298648455623,6.190647823382371,27,27
10,9,ridge_lags_1_2_3_4_5_10_alpha_1,0.22420322901080003,0.14338819129844688,6.053487183291601,27,27
10,10,ridge_lags_1_2_3_4_5_10_alpha_1,0.11375920713600708,0.04390811873418203,3.0714985926721914,27,27
