material,horizon,candidate,fold,order,seasonal_order,sMAPE
3,10,sarima_111_002_5,24,"(1, 1, 1)","(0, 0, 2, 5)",0.10898846060461516
3,10,sarima_111_002_5,25,"(1, 1, 1)","(0, 0, 2, 5)",0.27972581970105176
3,10,sarima_111_002_5,26,"(1, 1, 1)","(0, 0, 2, 5)",0.07896312592390783
3,10,sarima_111_002_5,27,"(1, 1, 1)","(0, 0, 2, 5)",0.5443127495563238
4,10,arima_011,1,"(0, 1, 1)","(0, 0, 0, 0)",0.12108815463132891
4,10,arima_011,2,"(0, 1, 1)","(0, 0, 0, 0)",0.13547492144929643
4,10,arima_011,3,"(0, 1, 1)","(0, 0, 0, 0)",0.11596707207211335
4,10,arima_011,4,"(0, 1, 1)","(0, 0, 0, 0)",0.15195689033294524
4,10,arima_011,5,"(0, 1, 1)","(0, 0, 0, 0)",0.13368252956078183
4,10,arima_011,6,"(0, 1, 1)","(0, 0, 0, 0)",0.08475106704268465
4,10,arima_011,7,"(0, 1, 1)","(0, 0, 0, 0)",0.18425196713254718
4,10,arima_011,8,"(0, 1, 1)","(0, 0, 0, 0)",0.10372194786271893
4,10,arima_011,9,"(0, 1, 1)","(0, 0, 0, 0)",0.2948173087189912
4,10,arima_011,10,"(0, 1, 1)","(0, 0, 0, 0)",0.18381798434230154
4,10,arima_011,11,"(0, 1, 1)","(0, 0, 0, 0)",0.18921646936279565
4,10,arima_011,12,"(0, 1, 1)","(0, 0, 0, 0)",0.08092200852093817
4,10,arima_011,13,"(0, 1, 1)","(0, 0, 0, 0)",0.0765707145142863
4,10,arima_011,14,"(0, 1, 1)","(0, 0, 0, 0)",0.09567074344610474
4,10,arima_011,15,"(0, 1, 1)","(0, 0, 0, 0)",0.10012623406331118
4,10,arima_011,16,"(0, 1, 1)","(0, 0, 0, 0)",0.11687696390829677
4,10,arima_011,17,"(0, 1, 1)","(0, 0, 0, 0)",0.23119184909846122
4,10,arima_011,18,"(0, 1, 1)","(0, 0, 0, 0)",0.12163820776027996
4,10,arima_011,19,"(0, 1, 1)","(0, 0, 0, 0)",0.11301885597511141
