material,horizon,candidate,order,seasonal_order,mean_smape,sum_smape,number_of_folds
10,66,sarima_012_002_5,"(0, 1, 2)","(0, 0, 2, 5)",0.137502509731224,0.550010038924896,4
11,66,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.4818398057447094,1.9273592229788377,4
11,66,sarima_111_001_5,"(1, 1, 1)","(0, 0, 1, 5)",0.48272645247145285,1.9309058098858114,4
11,66,sarima_112_001_5,"(1, 1, 2)","(0, 0, 1, 5)",0.4779835687027334,1.9119342748109336,4
11,66,sarima_112_100_5,"(1, 1, 2)","(1, 0, 0, 5)",0.4738040052501642,1.8952160210006568,4
12,66,arima_201,"(2, 0, 1)","(0, 0, 0, 0)",1.213837438608752,4.855349754435008,4
12,66,arima_400,"(4, 0, 0)","(0, 0, 0, 0)",1.1562194463586306,4.624877785434522,4
12,66,arima_500,"(5, 0, 0)","(0, 0, 0, 0)",1.179459880329859,4.717839521319436,4
13,66,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",1.8464071068313896,7.385628427325559,4
13,66,arima_411,"(4, 1, 1)","(0, 0, 0, 0)",1.8449023581651272,7.379609432660509,4
13,66,sarima_113_002_5,"(1, 1, 3)","(0, 0, 2, 5)",1.845651860690773,7.382607442763092,4
13,66,sarima_312_101_5,"(3, 1, 2)","(1, 0, 1, 5)",1.8446865811578712,7.378746324631485,4
13,66,sarima_412_101_5,"(4, 1, 2)","(1, 0, 1, 5)",1.844903759734721,7.379615038938884,4
1,132,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.15547893407594704,0.3109578681518941,2
1,132,sarima_112_100_5,"(1, 1, 2)","(1, 0, 0, 5)",0.16281477094488106,0.3256295418897621,2
2,132,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.19188415806862227,0.38376831613724455,2
3,132,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.15601655488874028,0.31203310977748056,2
3,132,sarima_111_002_5,"(1, 1, 1)","(0, 0, 2, 5)",0.15624916375857784,0.31249832751715567,2
4,132,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.17658098371787387,0.35316196743574774,2
4,132,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.17296132361809313,0.34592264723618626,2
5,132,arima_102,"(1, 0, 2)","(0, 0, 0, 0)",0.13982612161879876,0.2796522432375975,2
5,132,arima_202,"(2, 0, 2)","(0, 0, 0, 0)",0.14043434281187836,0.2808686856237567,2
5,132,arima_400,"(4, 0, 0)","(0, 0, 0, 0)",0.26308645895209426,0.5261729179041885,2
5,132,sarima_002_100_5,"(0, 0, 2)","(1, 0, 0, 5)",0.4795334491257026,0.9590668982514052,2
5,132,sarima_100_100_5,"(1, 0, 0)","(1, 0, 0, 5)",1.2111232010534616,2.422246402106923,2
6,132,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.16240691905087826,0.3248138381017565,2
6,132,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.16564264134571388,0.33128528269142776,2
6,132,sarima_011_200_5,"(0, 1, 1)","(2, 0, 0, 5)",0.1622658222013576,0.3245316444027152,2
7,132,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.3557846574443085,0.711569314888617,2
7,132,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.35535796326374386,0.7107159265274877,2
7,132,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.3559817136009378,0.7119634272018756,2
7,132,sarima_011_100_5,"(0, 1, 1)","(1, 0, 0, 5)",0.3493899675586827,0.6987799351173654,2
8,132,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.3013157212693375,0.602631442538675,2
8,132,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.28943159147806785,0.5788631829561357,2
8,132,arima_113,"(1, 1, 3)","(0, 0, 0, 0)",0.28750623799453445,0.5750124759890689,2
8,132,sarima_011_001_5,"(0, 1, 1)","(0, 0, 1, 5)",0.2981026590514647,0.5962053181029294,2
9,132,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.3053954832836897,0.6107909665673794,2
9,132,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",0.30672070379594923,0.6134414075918985,2
9,132,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.30712192236765734,0.6142438447353147,2
9,132,arima_311,"(3, 1, 1)","(0, 0, 0, 0)",0.30482367405265254,0.6096473481053051,2
10,132,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.15690553679437394,0.3138110735887479,2
10,132,sarima_012_002_5,"(0, 1, 2)","(0, 0, 2, 5)",0.15465937853811643,0.30931875707623285,2
11,132,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.4613735393207372,0.9227470786414744,2
11,132,sarima_111_001_5,"(1, 1, 1)","(0, 0, 1, 5)",0.4614089353036298,0.9228178706072596,2
11,132,sarima_112_001_5,"(1, 1, 2)","(0, 0, 1, 5)",0.439132974323598,0.878265948647196,2
11,132,sarima_112_100_5,"(1, 1, 2)","(1, 0, 0, 5)",0.4354961615564681,0.8709923231129362,2
12,132,arima_201,"(2, 0, 1)","(0, 0, 0, 0)",1.2352819477916683,2.4705638955833367,2
12,132,arima_400,"(4, 0, 0)","(0, 0, 0, 0)",1.1742887010878014,2.3485774021756027,2
12,132,arima_500,"(5, 0, 0)","(0, 0, 0, 0)",1.2035499975847868,2.4070999951695735,2
13,132,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",1.833252582325805,3.66650516465161,2
13,132,arima_411,"(4, 1, 1)","(0, 0, 0, 0)",1.833658623647533,3.667317247295066,2
13,132,sarima_113_002_5,"(1, 1, 3)","(0, 0, 2, 5)",1.8343843240244135,3.668768648048827,2
13,132,sarima_312_101_5,"(3, 1, 2)","(1, 0, 1, 5)",1.833698787797175,3.66739757559435,2
13,132,sarima_412_101_5,"(4, 1, 2)","(1, 0, 1, 5)",1.83430455145493,3.66860910290986,2
